store,day,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Aeon,Monday,07-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Aeon,Tuesday,08-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aeon,Wednesday,09-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aeon,Thursday,10-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aeon,Friday,11-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aeon,Saturday,12-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aeon,Sunday,13-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aeon,Monday,14-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aeon,Tuesday,15-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aeon,Wednesday,16-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aeon,Thursday,17-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aeon,Friday,18-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aeon,Saturday,19-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aeon,Sunday,20-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aeon,Monday,21-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aeon,Tuesday,22-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aeon,Wednesday,23-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aeon,Thursday,24-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aeon,Friday,25-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aeon,Saturday,26-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aeon,Sunday,27-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aeon,Monday,28-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aeon,Tuesday,29-Jan-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Wednesday,30-Jan-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Thursday,31-Jan-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Friday,01-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Saturday,02-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Sunday,03-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Monday,04-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Tuesday,05-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Wednesday,06-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Thursday,07-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Friday,08-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Saturday,09-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Sunday,10-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Monday,11-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Tuesday,12-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Wednesday,13-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Thursday,14-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Friday,15-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Saturday,16-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Sunday,17-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Monday,18-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Tuesday,19-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Wednesday,20-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Thursday,21-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Friday,22-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Saturday,23-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Sunday,24-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Monday,25-Feb-19,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,2,2,0,2,1,1
Aeon,Tuesday,26-Feb-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ozeki,Monday,07-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Ozeki,Tuesday,08-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ozeki,Wednesday,09-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ozeki,Thursday,10-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ozeki,Friday,11-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ozeki,Saturday,12-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ozeki,Sunday,13-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ozeki,Monday,14-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ozeki,Tuesday,15-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ozeki,Wednesday,16-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ozeki,Thursday,17-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ozeki,Friday,18-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ozeki,Saturday,19-Jan-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
