store,day,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Aeon,Wednesday,27-Feb-19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Aeon,Thursday,28-Feb-19,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,2,1,2,2,2,1,2,2,2
Aeon,Friday,01-Mar-19,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,2,1,2,2,2,1,2,2,2
Aeon,Saturday,02-Mar-19,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,2,1,2,2,2,1,2,2,2
Aeon,Sunday,03-Mar-19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ozeki,Wednesday,27-Feb-19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ozeki,Thursday,28-Feb-19,2,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0,1,0,0,0,1,0,2,2
Ozeki,Friday,01-Mar-19,2,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0,1,0,0,0,1,0,2,2
Ozeki,Saturday,02-Mar-19,2,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0,1,0,0,0,1,0,2,2
Ozeki,Sunday,03-Mar-19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
